@relation elevators

@attribute climbRate numeric
@attribute Altitude numeric
@attribute RollRate numeric
@attribute curRoll numeric
@attribute diffClb numeric
@attribute diffDiffClb numeric
@attribute Se numeric

@data
0.604651163,0.473684211,0.456057007,0.58,0.733333333,0.6,0.555555556
0.80730897,0.473684211,0.693586698,0.38,0.733333333,0.8,0.62962963
0.441860465,0.631578947,0.327790974,0.57,0.466666667,0.6,0.444444444
0.312292359,0.421052632,0.372921615,0.48,0.533333333,0.6,0.444444444
0.518272425,0.421052632,0.657957245,0.61,0.533333333,0.6,0.555555556
0.382059801,0.526315789,0.479809976,0.64,0.4,0.6,0.481481481
0.521594684,0.526315789,0.263657957,0.62,0.4,0.6,0.555555556
0.671096346,0.315789474,0.591448931,0.65,0.6,0.6,0.592592593
0.76744186,0.526315789,0.574821853,0.35,0.533333333,0.8,0.555555556
0.588039867,0.526315789,0.465558195,0.57,0.666666667,0.4,0.62962963
0.687707641,0.421052632,0.551068884,0.07,0.533333333,0.6,0.555555556
0.328903654,0.631578947,0.641330166,0.36,0.466666667,0.6,0.444444444
0.235880399,0.526315789,0.710213777,0.5,0.466666667,0.6,0.444444444
0.242524917,0.684210526,0.655581948,0.61,0.466666667,0.6,0.481481481
0.485049834,0.315789474,0.399049881,0.92,0.6,0.6,0.555555556
0.458471761,0.631578947,0.693586698,0.64,0.6,0.6,0.555555556
0.591362126,0.736842105,0.710213777,0.66,0.533333333,0.6,0.555555556
0.541528239,0.421052632,0.703087886,0.66,0.6,0.4,0.555555556
0.627906977,0.157894737,0.548693587,0.43,0.733333333,0.6,0.555555556
0.405315615,0.315789474,0.548693587,0.68,0.533333333,0.6,0.444444444
0.332225914,0.473684211,0.555819477,0.47,0.6,0.4,0.555555556
0.84717608,0.631578947,0.631828979,0.5,0.466666667,0.8,0.62962963
0.289036545,0.473684211,0.48456057,0.63,0.533333333,0.6,0.444444444
0.215946844,0.473684211,0.686460808,0.76,0.6,0.6,0.444444444
0.651162791,0.526315789,0.619952494,0.38,0.533333333,0.6,0.555555556
0.305647841,0.368421053,0.555819477,0.43,0.533333333,0.6,0.444444444
0.302325581,0.631578947,0.3847981,0.59,0.466666667,0.6,0.555555556
0.42192691,0.526315789,0.684085511,0.41,0.466666667,0.6,0.407407407
0.411960133,0.263157895,0.539192399,0.86,0.6,0.4,0.481481481
0.750830565,0.368421053,0.757719715,0.31,0.6,0.6,0.555555556
0.740863787,0.263157895,0.456057007,0.4,0.8,0.6,0.851851852
0.800664452,0.421052632,0.529691211,0.42,0.533333333,0.6,0.555555556
0.541528239,0.210526316,0.460807601,0.45,0.8,0.4,0.62962963
0.302325581,0.473684211,0.375296912,0.57,0.6,0.6,0.481481481
0.57807309,0.315789474,0.724465558,0.8,0.6,0.8,0.592592593
0.704318937,0.473684211,0.465558195,0.42,0.6,0.6,0.592592593
0.451827243,0.421052632,0.472684086,0.67,0.333333333,0.6,0.37037037
0.481727575,0.473684211,0.60807601,0.6,0.4,0.6,0.481481481
0.873754153,0.578947368,0.636579572,0.35,0.533333333,0.6,0.62962963
0.800664452,0.368421053,0.660332542,0.61,0.8,0.6,0.740740741
